NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GSE26351_WNT_VS_BMP_PATHWAY_STIM_HEMATOPOIETIC_PROGENITORS_DN	GSE26351_WNT_VS_BMP_PATHWAY_STIM_HEMATOPOIETIC_PROGENITORS_DN		53	0.31985793	0.93217754	0.646	1.0	1.0	986	tags=32%, list=31%, signal=46%	
GSE360_DC_VS_MAC_L_DONOVANI_DN	GSE360_DC_VS_MAC_L_DONOVANI_DN		46	0.32002437	0.9321259	0.642	1.0	1.0	1624	tags=59%, list=51%, signal=119%	
GSE3982_NKCELL_VS_TH1_DN	GSE3982_NKCELL_VS_TH1_DN		47	0.3172787	0.93206257	0.638	1.0	1.0	921	tags=32%, list=29%, signal=44%	
GSE15930_NAIVE_VS_24H_IN_VITRO_STIM_INFAB_CD8_TCELL_DN	GSE15930_NAIVE_VS_24H_IN_VITRO_STIM_INFAB_CD8_TCELL_DN		48	0.31941307	0.93204933	0.635	1.0	1.0	780	tags=29%, list=25%, signal=38%	
GSE14769_UNSTIM_VS_20MIN_LPS_BMDM_DN	GSE14769_UNSTIM_VS_20MIN_LPS_BMDM_DN		37	0.32622144	0.93199545	0.5985986	1.0	1.0	1582	tags=59%, list=50%, signal=118%	
GSE5589_UNSTIM_VS_45MIN_LPS_AND_IL10_STIM_MACROPHAGE_DN	GSE5589_UNSTIM_VS_45MIN_LPS_AND_IL10_STIM_MACROPHAGE_DN		49	0.31896067	0.93193024	0.642	1.0	1.0	1250	tags=43%, list=40%, signal=70%	
GSE2770_IL12_VS_TGFB_AND_IL12_TREATED_ACT_CD4_TCELL_2H_DN	GSE2770_IL12_VS_TGFB_AND_IL12_TREATED_ACT_CD4_TCELL_2H_DN		27	0.34470096	0.9316619	0.61530715	1.0	1.0	563	tags=22%, list=18%, signal=27%	
GSE43956_WT_VS_SGK1_KO_TH17_DIFFERENTIATED_CD4_TCELL_DN	GSE43956_WT_VS_SGK1_KO_TH17_DIFFERENTIATED_CD4_TCELL_DN		42	0.32537973	0.9311902	0.6136136	1.0	1.0	881	tags=29%, list=28%, signal=39%	
GSE14769_UNSTIM_VS_40MIN_LPS_BMDM_UP	GSE14769_UNSTIM_VS_40MIN_LPS_BMDM_UP		31	0.33385208	0.9309911	0.6098295	1.0	1.0	1362	tags=52%, list=43%, signal=90%	
GSE45365_HEALTHY_VS_MCMV_INFECTION_CD8_TCELL_IFNAR_KO_UP	GSE45365_HEALTHY_VS_MCMV_INFECTION_CD8_TCELL_IFNAR_KO_UP		19	0.35945413	0.93098116	0.617737	1.0	1.0	1194	tags=47%, list=38%, signal=76%	
